Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Frankie (Mumbai Roll),Maharashtra (Mumbai),Snack,Non-Veg,"Spiced filling rolled in flatbread, street food",Wheat Flour,1 roll (~200g),380,14,44,16,,,,,,,,"Wheat Flour, Salt, Oil, Mixed Spices","Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Ghavan,Maharashtra (Konkan),Breakfast/Tiffin,Veg,Thin rice flour crepe,Rice,2 pcs (~100g),160,3,32,2,,,,,,,,"Rice, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Harbhryachi Usal,Maharashtra (General),Curry,Veg,Sprouted green gram curry with coconut,Coconut,1 cup (~150g),170,10,22,5,,,,,,,,"Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Kadhi (Maharashtrian style),Maharashtra (General),Curry,Veg,Tangy-sweet buttermilk-besan curry,Gram Flour,1 cup (~200g),150,5,20,5,,,,,,,,"Gram Flour, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Gram Flour (Laghu, light, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Kairiche Lonche,Maharashtra (General),Pickle,Veg,Raw mango pickle in oil & mustard,"Mango, Mustard",1 tbsp (~15g),60,0.3,3,5,,,,,,,,"Mango, Mustard, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Mango (Guru, Snigdha, nourishing in season); Mustard (Balances doshas when eaten fresh and in moderation); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Kanda Bhaji,Maharashtra (General),Snack,Veg,Deep-fried onion fritters,"Onion, Gram Flour (Besan)",1 cup (~100g),240,4,26,13,,,,,,,,"Onion, Gram Flour (Besan), Salt, Oil, Mixed Spices","Onion (Ushna, stimulates Agni, balances Kapha and Vata); Gram Flour (Besan) (Laghu, light, balances Kapha); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Karanji,Maharashtra (General),Sweet,Veg,Deep-fried sweet dumpling with coconut-jaggery filling,"Coconut, Jaggery",2 pcs (~80g),260,3,36,12,,,,,,,,"Coconut, Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Coconut (Shita, cooling, pacifies Pitta); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Khandeshi Shev Bhaji,Maharashtra (Khandesh),Curry,Veg,Fried gram-flour noodles in spicy tomato gravy,Tomato,1 cup (~200g),280,7,26,17,,,,,,,,"Tomato, Onion, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Kharvas,Maharashtra (Konkan),Sweet,Veg,Steamed colostrum milk custard,Milk,1 piece (~100g),180,9,14,10,,,,,,,,"Milk, Sugar, Ghee, Milk/Khoya, Cardamom","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Khichdi (Maharashtrian style),Maharashtra (General),Staple,Veg,Simple rice-dal khichdi with ghee,"Rice, Ghee",1 cup (~200g),240,8,38,6,,,,,,,,"Rice, Ghee, Oil/Ghee, Whole Spices, Salt","Rice (Laghu, easy to digest, balances Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Khobrayachi Chutney,Maharashtra (General),Chutney,Veg,Fresh coconut chutney with green chili,"Coconut, Chili",1/4 cup (~50g),100,2,5,9,,,,,,,,"Coconut, Chili, Green Chilli, Salt, Spices, Oil (tempering)","Coconut (Shita, cooling, pacifies Pitta); Chili (Balances doshas when eaten fresh and in moderation); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Spices (Balances doshas when eaten fresh and in moderation); Oil (tempering) (Snigdha, unctuous, balances Vata)"
Kokum Sarbat,Maharashtra (Konkan),Beverage,Veg,Tangy-sweet kokum cooling drink,Kokum,1 glass (~200ml),90,0.3,22,0.2,,,,,,,,"Kokum, Water, Sugar, Ice","Kokum (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
Kolambi Masala (Prawn Masala),Maharashtra (Konkan),Non-Veg,Non-Veg,Prawns in spicy onion-coconut masala,"Onion, Coconut, Prawn",1 cup (~200g),270,20,8,18,,,,,,,,"Onion, Coconut, Prawn, Salt, Oil, Mixed Spices","Onion (Ushna, stimulates Agni, balances Kapha and Vata); Coconut (Shita, cooling, pacifies Pitta); Prawn (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Kolhapuri Chicken (Tambda Rassa),Maharashtra (Kolhapur (Western Maharashtra)),Non-Veg,Non-Veg,"Fiery red spicy chicken curry, Kolhapuri masala",Chicken,1 cup (~200g),340,24,8,24,,,,,,,,"Chicken, Salt, Oil, Mixed Spices","Chicken (Guru, Ushna, builds strength); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Kombdi Vade,Maharashtra (Konkan (Malvani)),Non-Veg,Non-Veg,Spicy chicken curry served with deep-fried puri,Chicken,1 serving (~250g),420,20,38,20,,,,,,,,"Chicken, Salt, Oil, Mixed Spices","Chicken (Guru, Ushna, builds strength); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Kothimbir Vadi,Maharashtra (General),Snack,Veg,Steamed & fried gram flour-coriander squares,Coriander,1 cup (~100g),210,7,22,10,,,,,,,,"Coriander, Salt, Oil, Mixed Spices","Coriander (Shita, cooling, soothes Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Lasun Chutney (Kolhapuri),Maharashtra (Kolhapur),Chutney/Side,Veg,Fiery dry garlic-chili-coconut chutney,"Coconut, Chili, Garlic",1 tbsp (~15g),50,1,4,3,,,,,,,,"Coconut, Chili, Garlic, Green Chilli, Salt, Spices, Oil (tempering)","Coconut (Shita, cooling, pacifies Pitta); Chili (Balances doshas when eaten fresh and in moderation); Garlic (Ushna, heating, balances Vata and Kapha); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Spices (Balances doshas when eaten fresh and in moderation); Oil (tempering) (Snigdha, unctuous, balances Vata)"
Masale Bhaat,Maharashtra (General),Rice Dish,Veg,Spiced mixed vegetable rice with goda masala,Rice,1 cup (~200g),280,6,42,10,,,,,,,,"Rice, Oil/Ghee, Whole Spices, Salt","Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Matki Usal,Maharashtra (General),Curry,Veg,Sprouted moth bean curry with coconut & goda masala,Coconut,1 cup (~150g),180,10,22,6,,,,,,,,"Coconut, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Coconut (Shita, cooling, pacifies Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Metkut,Maharashtra (General),Side/Condiment,Veg,Roasted multi-lentil spice powder mixed with ghee & rice,"Rice, Ghee",1 tbsp (~15g),65,3,6,3,,,,,,,,"Rice, Ghee, Salt, Pepper, Oil/Butter","Rice (Laghu, easy to digest, balances Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Misal Pav,Maharashtra (General),Snack/Breakfast,Veg,Spicy sprouted lentil curry with bread,Bread,1 plate (~300g),380,14,50,13,,,,,,,,"Bread, Salt, Oil, Mixed Spices","Bread (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Modak (Ukdiche Modak),Maharashtra (General),Sweet,Veg,Steamed rice dumpling with coconut-jaggery filling,"Rice, Coconut, Jaggery",2 pcs (~80g),190,3,34,5,,,,,,,,"Rice, Coconut, Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Coconut (Shita, cooling, pacifies Pitta); Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Mutton Sukka (Konkan style),Maharashtra (Konkan),Non-Veg,Non-Veg,Dry spiced mutton roast with coconut,"Coconut, Mutton",1 cup (~200g),370,25,8,27,,,,,,,,"Coconut, Mutton, Salt, Oil, Mixed Spices","Coconut (Shita, cooling, pacifies Pitta); Mutton (Guru, Ushna, heavy and warming); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Nagpur Santra Barfi,Maharashtra (Vidarbha (Nagpur)),Sweet,Veg,Orange-flavored milk-based fudge sweet,"Orange, Milk",2 pcs (~40g),170,3,20,8,,,,,,,,"Orange, Milk, Sugar, Ghee, Milk/Khoya, Cardamom","Orange (Balances doshas when eaten fresh and in moderation); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Pandhra Rassa (White Chicken Curry),Maharashtra (Kolhapur (Western Maharashtra)),Non-Veg,Non-Veg,Mild coconut-cashew based white chicken curry,"Coconut, Chicken, Cashew",1 cup (~200g),300,22,8,20,,,,,,,,"Coconut, Chicken, Cashew, Salt, Oil, Mixed Spices","Coconut (Shita, cooling, pacifies Pitta); Chicken (Guru, Ushna, builds strength); Cashew (Guru, Snigdha, builds tissue); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
"Pani Puri (Puchka, Mumbai style)",Maharashtra (Mumbai),Snack,Veg,Crisp hollow puris filled with tangy spiced water,Semolina (Sooji/Rava),6 pcs (~100g),180,3,28,6,,,,,,,,"Semolina (Sooji/Rava), Salt, Oil, Mixed Spices","Semolina (Sooji/Rava) (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Pav Bhaji,Maharashtra (Mumbai),Snack/Main,Veg,Mashed spiced vegetable mash with buttered bread,Bread,1 plate (~300g),420,10,55,17,,,,,,,,"Bread, Salt, Oil, Mixed Spices","Bread (Balances doshas when eaten fresh and in moderation); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Pithla,Maharashtra (General),Curry,Veg,Gram flour cooked into a savory thick curry,Gram Flour (Besan),1 cup (~200g),180,9,18,9,,,,,,,,"Gram Flour (Besan), Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Gram Flour (Besan) (Laghu, light, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Poha (Kanda Poha),Maharashtra (General),Breakfast/Tiffin,Veg,"Flattened rice tempered with onion, peanuts, turmeric","Rice, Flattened Rice, Onion, Peanut, Turmeric",1 cup (~150g),200,4,34,5,,,,,,,,"Rice, Flattened Rice, Onion, Peanut, Turmeric, Salt, Oil, Mixed Spices","Rice (Laghu, easy to digest, balances Kapha); Flattened Rice (Laghu, light and easy to digest, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Peanut (Guru, Ushna, energy dense); Turmeric (Ushna, anti-inflammatory, purifies blood); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Puran Poli,Maharashtra (General),Sweet,Veg,Sweet lentil-jaggery stuffed flatbread,Jaggery,1 piece (~80g),250,5,42,7,,,,,,,,"Jaggery, Sugar, Ghee, Milk/Khoya, Cardamom","Jaggery (Ushna, warming sweetness, aids digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Ragda Pattice,Maharashtra (Mumbai),Snack,Veg,Potato patties topped with white pea curry & chutneys,Potato,1 plate (~250g),320,9,48,10,,,,,,,,"Potato, Salt, Oil, Mixed Spices","Potato (Guru, Vata aggravating in excess); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sabudana Khichdi,Maharashtra (General),Breakfast/Tiffin,Veg,Tapioca pearls with peanuts & potato,"Sago/Tapioca Pearls, Potato, Peanut",1 cup (~150g),260,5,38,10,,,,,,,,"Sago/Tapioca Pearls, Potato, Peanut, Salt, Oil, Mixed Spices","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Potato (Guru, Vata aggravating in excess); Peanut (Guru, Ushna, energy dense); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sabudana Thalipeeth,Maharashtra (General),Snack,Veg,Pan-fried tapioca-potato-peanut patty,"Sago/Tapioca Pearls, Potato, Peanut",2 pcs (~120g),280,6,40,11,,,,,,,,"Sago/Tapioca Pearls, Potato, Peanut, Salt, Oil, Mixed Spices","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Potato (Guru, Vata aggravating in excess); Peanut (Guru, Ushna, energy dense); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sabudana Vada,Maharashtra (General),Snack,Veg,Deep-fried tapioca-potato-peanut fritter,"Sago/Tapioca Pearls, Potato, Peanut",2 pcs (~100g),250,5,30,13,,,,,,,,"Sago/Tapioca Pearls, Potato, Peanut, Salt, Oil, Mixed Spices","Sago/Tapioca Pearls (Balances doshas when eaten fresh and in moderation); Potato (Guru, Vata aggravating in excess); Peanut (Guru, Ushna, energy dense); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Saoji Chicken,Maharashtra (Vidarbha (Nagpur)),Non-Veg,Non-Veg,Extremely fiery Vidarbha-style spicy chicken curry,Chicken,1 cup (~200g),340,24,8,24,,,,,,,,"Chicken, Salt, Oil, Mixed Spices","Chicken (Guru, Ushna, builds strength); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Sev Puri,Maharashtra (Mumbai),Snack,Veg,"Crisp puris topped with potato, chutneys & sev",Potato,1 plate (~150g),250,5,36,10,,,,,,,,"Potato, Salt, Oil, Mixed Spices","Potato (Guru, Vata aggravating in excess); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Shira (Sheera),Maharashtra (General),Sweet/Breakfast,Veg,Sweet semolina pudding with ghee & nuts,"Semolina, Beans, Ghee",1 cup (~150g),300,4,45,12,,,,,,,,"Semolina, Beans, Ghee, Sugar, Milk/Khoya, Cardamom","Semolina (Balances doshas when eaten fresh and in moderation); Beans (Balances doshas when eaten fresh and in moderation); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Shrikhand,Maharashtra (General),Sweet,Veg,Sweetened hung curd with saffron & cardamom,Curd/Yogurt,1 cup (~150g),270,7,32,12,,,,,,,,"Curd/Yogurt, Sugar, Ghee, Milk/Khoya, Cardamom","Curd/Yogurt (Amla, Guru, sour and cooling in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Solkadhi,Maharashtra (Konkan),Beverage/Side,Veg,Kokum-coconut milk digestive drink,"Coconut, Milk",1 glass (~200ml),90,1,6,7,,,,,,,,"Coconut, Milk, Water, Sugar, Ice","Coconut (Shita, cooling, pacifies Pitta); Milk (Guru, Shita, cooling and building, balances Pitta); Water (Balances doshas when eaten fresh and in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation)"
